Report Date,Report For Date,Total Loads
03/23/2015,03/20/2015,641.84
03/16/2015,03/13/2015,660.48
03/09/2015,03/06/2015,583.99
03/02/2015,02/27/2015,891.68
02/23/2015,02/20/2015,631.89
02/16/2015,02/13/2015,639.76
02/09/2015,02/06/2015,832.96
02/02/2015,01/30/2015,524.91
01/26/2015,01/23/2015,645.44
01/19/2015,01/16/2015,645.83
01/12/2015,01/09/2015,841.00
01/05/2015,01/02/2015,456.72
12/29/2014,12/26/2014,570.51
12/22/2014,12/19/2014,636.73
12/15/2014,12/12/2014,624.92
12/08/2014,12/05/2014,646.85
12/01/2014,11/28/2014,453.61
11/24/2014,11/21/2014,615.65
11/17/2014,11/14/2014,479.03
11/10/2014,11/07/2014,666.93
11/03/2014,10/31/2014,543.21
10/27/2014,10/24/2014,426.54
10/20/2014,10/17/2014,713.38
10/13/2014,10/10/2014,464.10
10/06/2014,10/03/2014,559.32
09/29/2014,09/26/2014,370.74
09/22/2014,09/19/2014,312.66
09/15/2014,09/12/2014,594.43
09/08/2014,09/05/2014,376.05
09/02/2014,08/29/2014,437.35
08/25/2014,08/22/2014,456.29
08/18/2014,08/15/2014,421.12
08/11/2014,08/08/2014,415.49
08/04/2014,08/01/2014,654.36
07/28/2014,07/25/2014,273.68
07/21/2014,07/18/2014,426.29
07/14/2014,07/11/2014,425.65
07/07/2014,07/04/2014,352.31
06/30/2014,06/27/2014,257.76
06/23/2014,06/20/2014,640.80
06/16/2014,06/13/2014,404.12
06/09/2014,06/06/2014,328.94
06/02/2014,05/30/2014,239.38
05/27/2014,05/23/2014,554.02
05/19/2014,05/16/2014,604.94
05/12/2014,05/09/2014,673.59
05/05/2014,05/02/2014,577.49
04/28/2014,04/25/2014,399.45
04/20/2014,04/18/2014,424.10
04/14/2014,04/11/2014,"1,015.73"
04/07/2014,04/04/2014,796.92
03/31/2014,03/28/2014,376.62
03/24/2014,03/21/2014,307.41
03/17/2014,03/14/2014,385.24
03/10/2014,03/07/2014,580.67
03/03/2014,02/28/2014,361.86
02/24/2014,02/21/2014,696.30
02/17/2014,02/14/2014,465.23
02/10/2014,02/07/2014,465.37
02/03/2014,01/31/2014,434.84
01/27/2014,01/24/2014,728.18
01/20/2014,01/17/2014,875.00
01/13/2014,01/10/2014,529.35
