,Report Date,Report For Date,Total Loads
127,03/13/2017,03/10/2017,607.47
128,03/06/2017,03/03/2017,556.21
129,02/27/2017,02/24/2017,514.30
130,02/20/2017,02/17/2017,457.06
131,02/13/2017,02/10/2017,667.75
132,02/06/2017,02/03/2017,501.50
133,01/30/2017,01/27/2017,714.91
134,01/23/2017,01/20/2017,621.38
135,01/16/2017,01/13/2017,606.89
136,01/09/2017,01/06/2017,473.09
137,01/03/2017,12/30/2016,448.82
138,12/27/2016,12/23/2016,549.82
139,12/19/2016,12/16/2016,515.74
140,12/12/2016,12/09/2016,378.29
141,12/05/2016,12/02/2016,855.32
142,11/28/2016,11/25/2016,421.34
143,11/21/2016,11/18/2016,980.74
144,11/14/2016,11/11/2016,634.64
145,11/07/2016,11/04/2016,"1,175.78"
146,10/31/2016,10/28/2016,464.49
147,10/24/2016,10/21/2016,650.21
148,10/17/2016,10/14/2016,711.91
149,10/10/2016,10/07/2016,"1,142.22"
150,10/03/2016,09/30/2016,849.95
151,09/26/2016,09/23/2016,672.93
152,09/19/2016,09/16/2016,500.17
153,09/12/2016,09/09/2016,363.48
154,09/06/2016,09/02/2016,959.64
155,08/29/2016,08/26/2016,921.72
156,08/22/2016,08/19/2016,789.23
157,08/15/2016,08/12/2016,397.85
158,08/08/2016,08/05/2016,583.81
159,08/01/2016,07/29/2016,414.60
160,07/25/2016,07/22/2016,295.73
161,07/18/2016,07/15/2016,656.92
162,07/11/2016,07/08/2016,323.57
163,07/05/2016,07/01/2016,279.00
164,06/27/2016,06/24/2016,824.75
165,06/20/2016,06/17/2016,421.24
166,06/13/2016,06/10/2016,273.09
167,06/06/2016,06/03/2016,406.26
168,05/31/2016,05/27/2016,298.79
169,05/23/2016,05/20/2016,619.34
170,05/16/2016,05/13/2016,296.73
171,05/09/2016,05/06/2016,477.48
172,05/02/2016,04/29/2016,756.53
173,04/25/2016,04/22/2016,338.01
174,04/18/2016,04/15/2016,569.57
175,04/11/2016,04/08/2016,428.33
176,04/04/2016,04/01/2016,499.39
177,03/28/2016,03/25/2016,595.03
178,03/21/2016,03/18/2016,662.68
179,03/14/2016,03/11/2016,606.07
180,03/07/2016,03/04/2016,897.25
181,02/29/2016,02/26/2016,783.80
182,02/22/2016,02/19/2016,436.88
183,02/15/2016,02/12/2016,460.48
184,02/08/2016,02/05/2016,415.11
185,02/01/2016,01/29/2016,347.08
186,01/25/2016,01/22/2016,"1,023.70"
187,01/18/2016,01/15/2016,685.12
188,01/11/2016,01/08/2016,389.84
189,01/04/2016,01/01/2016,335.70
190,12/28/2015,12/25/2015,337.99
191,12/21/2015,12/18/2015,647.04
192,12/14/2015,12/11/2015,257.37
193,12/07/2015,12/04/2015,216.12
194,11/30/2015,11/27/2015,458.36
195,11/23/2015,11/20/2015,862.08
196,11/16/2015,11/13/2015,392.27
197,11/09/2015,11/06/2015,544.18
198,11/02/2015,10/30/2015,576.20
199,10/26/2015,10/23/2015,531.54
200,10/19/2015,10/16/2015,396.94
201,10/12/2015,10/09/2015,351.03
202,10/05/2015,10/02/2015,301.79
203,09/28/2015,09/25/2015,486.04
204,09/21/2015,09/18/2015,393.69
205,09/14/2015,09/11/2015,693.15
206,09/08/2015,09/04/2015,504.68
207,08/31/2015,08/28/2015,582.18
208,08/24/2015,08/21/2015,310.62
209,08/17/2015,08/14/2015,403.73
210,08/10/2015,08/07/2015,547.92
211,08/03/2015,07/31/2015,221.47
212,07/27/2015,07/24/2015,291.85
213,07/20/2015,07/17/2015,291.86
214,07/13/2015,07/10/2015,434.69
215,07/06/2015,07/03/2015,352.04
216,06/29/2015,06/26/2015,437.64
217,06/22/2015,06/19/2015,631.87
218,06/15/2015,06/12/2015,431.34
219,06/08/2015,06/05/2015,298.00
220,06/01/2015,05/29/2015,164.71
221,05/26/2015,05/22/2015,289.09
222,05/18/2015,05/15/2015,260.36
223,05/11/2015,05/08/2015,463.47
224,05/04/2015,05/01/2015,648.49
225,04/27/2015,04/24/2015,408.47
226,04/20/2015,04/17/2015,480.60
227,04/13/2015,04/10/2015,272.08
